,ID,Survived
0,1000,1
1,1001,0
2,1002,0
3,1003,1
4,1004,0
5,1005,0
6,1006,1
7,1007,1
8,1008,0
9,1009,0
10,1010,1
11,1011,1
12,1012,1
13,1013,1
14,1014,0
15,1015,0
16,1016,0
17,1017,0
18,1018,0
19,1019,0
20,1020,1
21,1021,1
22,1022,0
23,1023,0
24,1024,0
25,1025,0
26,1026,0
27,1027,1
28,1028,0
29,1029,1
30,1030,0
31,1031,0
32,1032,0
33,1033,1
34,1034,1
35,1035,0
36,1036,0
37,1037,0
38,1038,0
39,1039,0
40,1040,1
41,1041,0
42,1042,1
43,1043,0
44,1044,1
45,1045,0
46,1046,0
47,1047,0
48,1048,1
49,1049,1
50,1050,0
51,1051,1
52,1052,0
53,1053,1
54,1054,0
55,1055,0
56,1056,0
57,1057,0
58,1058,1
59,1059,0
60,1060,1
61,1061,0
62,1062,0
63,1063,0
64,1064,0
65,1065,0
66,1066,0
67,1067,1
68,1068,0
69,1069,0
70,1070,0
71,1071,0
72,1072,0
73,1073,0
74,1074,0
75,1075,0
76,1076,0
77,1077,1
78,1078,0
79,1079,0
80,1080,0
81,1081,0
82,1082,0
83,1083,0
84,1084,0
85,1085,1
86,1086,1
87,1087,0
88,1088,0
89,1089,0
90,1090,0
91,1091,0
92,1092,0
93,1093,1
94,1094,0
95,1095,0
96,1096,0
97,1097,0
98,1098,0
99,1099,0
100,1100,0
101,1101,1
102,1102,0
103,1103,0
104,1104,0
105,1105,0
106,1106,1
107,1107,1
108,1108,1
109,1109,0
110,1110,0
111,1111,0
112,1112,1
113,1113,1
114,1114,0
115,1115,0
116,1116,1
117,1117,0
118,1118,0
119,1119,0
120,1120,1
121,1121,1
122,1122,1
123,1123,0
124,1124,0
125,1125,0
126,1126,0
127,1127,0
128,1128,1
129,1129,0
130,1130,1
131,1131,0
132,1132,1
133,1133,0
134,1134,0
135,1135,1
136,1136,0
137,1137,1
138,1138,1
139,1139,0
140,1140,0
141,1141,0
142,1142,1
143,1143,0
144,1144,1
145,1145,0
146,1146,0
147,1147,1
148,1148,0
149,1149,1
150,1150,0
151,1151,0
152,1152,1
153,1153,0
154,1154,1
155,1155,0
156,1156,0
157,1157,0
158,1158,0
159,1159,0
160,1160,0
161,1161,0
162,1162,0
163,1163,0
164,1164,0
165,1165,0
166,1166,0
167,1167,0
168,1168,1
169,1169,0
170,1170,1
171,1171,0
172,1172,0
173,1173,0
174,1174,0
175,1175,1
176,1176,1
177,1177,0
178,1178,0
179,1179,0
180,1180,0
181,1181,1
182,1182,0
183,1183,0
184,1184,0
185,1185,0
186,1186,0
187,1187,0
188,1188,1
189,1189,1
190,1190,0
191,1191,0
192,1192,0
193,1193,0
194,1194,0
195,1195,0
196,1196,1
197,1197,0
198,1198,1
199,1199,0
200,1200,0
201,1201,1
202,1202,1
203,1203,0
204,1204,1
205,1205,0
206,1206,0
207,1207,0
208,1208,0
209,1209,1
210,1210,1
211,1211,0
212,1212,0
213,1213,0
214,1214,0
215,1215,0
216,1216,1
217,1217,1
218,1218,0
219,1219,0
220,1220,0
221,1221,0
222,1222,1
223,1223,0
224,1224,0
225,1225,1
226,1226,1
227,1227,0
228,1228,0
229,1229,0
230,1230,0
231,1231,0
232,1232,1
233,1233,0
234,1234,1
235,1235,1
236,1236,1
237,1237,0
238,1238,0
239,1239,0
240,1240,1
241,1241,0
242,1242,1
243,1243,0
244,1244,1
245,1245,0
246,1246,1
247,1247,0
248,1248,1
249,1249,0
250,1250,0
251,1251,1
252,1252,0
253,1253,0
254,1254,0
255,1255,1
256,1256,0
257,1257,1
258,1258,1
259,1259,0
260,1260,1
261,1261,0
262,1262,0
263,1263,1
264,1264,1
265,1265,0
266,1266,1
267,1267,0
268,1268,1
269,1269,1
270,1270,1
271,1271,0
272,1272,0
273,1273,0
274,1274,0
275,1275,0
276,1276,1
277,1277,0
278,1278,1
279,1279,0
280,1280,1
281,1281,0
282,1282,1
283,1283,0
284,1284,0
285,1285,0
286,1286,0
287,1287,1
288,1288,1
289,1289,1
290,1290,0
291,1291,0
292,1292,0
293,1293,1
294,1294,0
295,1295,0
296,1296,0
297,1297,0
298,1298,0
299,1299,1
300,1300,1
301,1301,1
302,1302,0
303,1303,0
304,1304,0
305,1305,0
306,1306,0
307,1307,1
308,1308,1
