2.6	-1.3	   
3.2	-2.7	   
3.6	0	   
6.2	-2.7	   
6.6	-2.7	   
6.8	-1.3	   
8.2	-2.7	   
8.8	-1.3	   
8.8	-2.7	   
10	-2.7	   
10.2	-5.4	   
10.6	-2.7	   
11.4	0	   
13.2	-2.7	   
13.6	-2.7	   
14.6	-13.3	   
14.6	-5.4	   
14.6	-5.4	   
14.6	-16	   
14.6	-22.8	   
14.8	-2.7	   
15.4	-32.1	   
15.4	-53.5	   
15.4	-54.9	   
15.6	-21.5	   
15.8	-21.5	   
15.8	-50.8	   
16	-26.8	   
16.2	-21.5	   
16.2	-50.8	   
16.4	-5.4	   
16.4	-80.4	   
16.6	-59	   
16.8	-91.1	   
16.8	-77.7	   
17.6	-37.5	   
17.6	-123	   
17.6	-102	   
17.8	-99.1	   
18.6	-113	   
18.6	-50.8	   
19.2	-123	   
19.4	-72.3	   
19.6	-127	   
20.2	-123	   
21.2	-134	   
21.4	-102	   
21.8	-108	   
23.2	-123	   
23.4	-129	   
24	-113	   
24.2	-81.8	   
24.6	-53.5	   
25	-64.4	   
25.4	-72.3	   
25.4	-44.3	   
25.6	-26.8	   
26.2	-107	   
26.2	-21.5	   
26.4	-65.6	   
27.2	-45.6	   
27.2	-24.2	   
27.2	9.5	   
28.2	12	   
28.4	-21.5	   
28.4	37.5	   
29.4	-17.4	   
30.2	36.2	   
31	75	   
32	54.9	   
32	48.2	   
32.8	46.9	   
33.8	45.6	   
34.4	1.3	   
34.8	75	   
35.2	-54.9	   
35.4	69.6	   
35.6	34.8	   
36.2	-37.5	   
36.2	22.8	   
38	46.9	   
39.2	5.4	   
39.4	-1.3	   
40	-21.5	   
41.6	30.8	   
41.6	-10.7	   
42.4	29.4	   
42.8	-10.7	   
43	14.7	   
44	-1.3	   
45	10.7	   
46.6	10.7	   
47.8	-26.8	   
48.8	-13.3	   
50.6	0	   
52	10.7	   
55	-2.7	   
55	10.7	   
55.4	-2.7	   
