c instance by G2
c solution = 01001010011100010011110111001100000011000110110000
c Known solution cost is 1090 
p cnf 50 50
w 11 47 14 33 1 14 20 35 6 8 36 20 32 47 21 14 48 44 43 4 16 35 11 11 48 27 14 19 48 0 9 11 0 40 44 3 42 15 2 26 18 16 28 2 2 4 43 22 6 30
-38 28 -32 0
-50 4 -38 0
-10 -37 -23 0
-29 -43 -48 0
11 -37 -5 0
-35 50 34 0
-10 -17 -30 0
-10 -11 43 0
50 -31 40 0
-8 27 3 0
18 35 12 0
15 50 10 0
-9 -38 -21 0
-11 22 9 0
19 -5 -2 0
-45 39 2 0
34 20 1 0
-15 -16 -5 0
50 -7 29 0
-44 -24 28 0
-36 41 -5 0
33 -1 44 0
-37 9 5 0
-18 28 -11 0
17 -24 46 0
-22 42 -11 0
13 -38 30 0
37 1 47 0
39 17 25 0
3 4 -41 0
32 8 -34 0
39 -28 -37 0
28 38 -42 0
39 21 23 0
-42 31 -49 0
-24 23 -3 0
-11 14 45 0
18 -40 31 0
-4 32 -37 0
6 -39 34 0
39 3 -6 0
49 47 -27 0
48 41 -47 0
49 26 34 0
-21 24 -16 0
40 -14 -5 0
-19 -33 13 0
-2 -13 41 0
3 -30 16 0
17 9 7 0
