c instance by G2
c solution = 00001110100111000001010000110011011000010100000111
c Known solution cost is 2514 
p cnf 50 50
w 74 96 58 72 83 23 41 39 37 78 42 34 9 56 29 40 91 55 30 25 20 98 18 21 87 19 37 77 88 99 53 91 77 2 5 66 1 8 14 27 59 80 22 88 71 91 57 17 72 37
-32 -19 1 0
19 50 26 0
33 23 22 0
23 1 -47 0
47 41 -24 0
41 -31 -44 0
8 29 20 0
41 36 34 0
8 -11 -9 0
35 26 36 0
44 -3 24 0
42 25 -22 0
-2 -9 46 0
47 19 -38 0
33 -5 -8 0
15 -50 -17 0
7 39 10 0
26 45 32 0
-22 33 -36 0
44 -21 -20 0
-5 -39 -32 0
-16 -42 -49 0
-33 -42 -35 0
38 47 31 0
1 -32 -43 0
40 -50 38 0
-26 21 11 0
41 13 -28 0
-4 30 44 0
-32 -50 -45 0
-7 -23 17 0
-50 -5 28 0
-35 8 49 0
-6 27 16 0
-46 -9 -31 0
4 -1 25 0
10 6 4 0
-31 24 9 0
4 -29 38 0
-50 -15 -49 0
48 -42 4 0
26 24 -30 0
46 3 12 0
-32 -41 4 0
5 2 47 0
18 -10 45 0
41 17 -25 0
-12 14 -28 0
-37 -49 -50 0
-22 -18 -6 0
