c instance by G2
c solution = 00110110110001111100101011000101101111001111111010
c Known solution cost is 436 
p cnf 50 50
w 6 7 14 10 13 10 6 0 14 16 16 3 1 14 4 1 12 11 13 13 19 13 10 3 17 13 15 0 10 8 2 0 12 13 3 2 1 8 12 9 5 7 1 9 18 7 8 18 8 1
19 -28 50 0
5 -35 -11 0
14 -41 -7 0
4 -21 -32 0
-26 -48 13 0
32 8 31 0
-44 34 -12 0
-41 3 34 0
-1 24 40 0
11 7 39 0
38 13 48 0
-18 -32 44 0
-17 19 18 0
-21 31 42 0
25 22 -38 0
-25 -40 -21 0
39 21 27 0
50 -33 41 0
50 -6 -8 0
22 43 -17 0
48 17 -16 0
27 -44 -24 0
46 -23 2 0
20 35 -36 0
5 13 47 0
26 -46 -10 0
-39 13 -46 0
49 5 -3 0
-25 -41 33 0
-27 -7 8 0
50 -34 2 0
-33 -22 27 0
9 -7 27 0
10 11 24 0
40 2 -13 0
-23 -31 -49 0
-4 45 -15 0
30 22 19 0
1 36 -44 0
-45 -16 -50 0
31 15 28 0
23 -6 -10 0
-18 -16 -5 0
39 31 -2 0
-6 16 -46 0
-45 -29 20 0
6 -16 -32 0
-44 -19 -38 0
-16 -20 27 0
-43 -21 37 0
