c instance by G2
c solution = 0110100100000011100110111000110000111001
c Known solution cost is 1909 
p cnf 40 50
w 37 78 2 41 71 15 30 37 4 47 50 32 69 60 98 79 74 52 4 43 16 78 37 8 62 70 39 62 35 38 60 90 40 57 94 1 69 18 35 77
-13 -17 6 0
33 -5 -27 0
10 9 -33 0
9 37 38 0
-15 3 6 0
34 -39 -29 0
13 -24 37 0
-27 7 10 0
9 5 -20 0
-22 32 -29 0
-2 -3 -10 0
2 27 -39 0
30 -9 -27 0
-14 -17 27 0
-25 32 15 0
25 22 28 0
-25 33 -4 0
31 36 -40 0
-3 17 22 0
-9 -36 38 0
20 -37 -24 0
-28 26 -24 0
-28 32 -26 0
40 37 33 0
-2 19 -18 0
27 -36 -32 0
-30 -8 -6 0
10 13 -7 0
-2 -38 4 0
-21 7 2 0
-28 -31 36 0
31 -2 8 0
-15 30 14 0
38 -3 5 0
16 10 27 0
-37 19 -1 0
32 24 -2 0
29 -18 -6 0
-11 13 -35 0
-8 35 14 0
28 -2 40 0
-29 -19 -17 0
34 23 -24 0
-36 -31 -3 0
11 21 -16 0
4 -34 -21 0
-36 23 32 0
-36 -37 -12 0
28 11 29 0
-26 -29 -2 0
